,?砍??交?,?,頧砍?,瘣暹,餈漲,?斗??斗???⊥??餉扇??蝥Ｚ銝???
0,2022-06-24,0,0,0.42,摰,2022-07-01,2022-06-30,
1,2021-07-01,0,0,0.5,摰,2021-07-08,2021-07-07,
2,2020-07-08,0,0,0.72,摰,2020-07-15,2020-07-14,
3,2019-07-12,0,0,0.6,摰,2019-07-18,2019-07-17,
4,2018-07-03,0,0,0.35,摰,2018-07-09,2018-07-06,
5,2017-07-04,0,0,0.35,摰,2017-07-10,2017-07-07,
6,2016-06-28,0,0,0.2,摰,2016-07-04,2016-07-01,
7,2015-07-02,0,0,0.3,摰,2015-07-08,2015-07-07,
8,2014-06-25,0,0,0.75,摰,2014-07-01,2014-06-30,
9,2013-05-28,0,0,1.3,摰,2013-06-03,2013-05-31,
10,2012-05-15,0,0,0.8,摰,2012-05-21,2012-05-18,
11,2011-05-20,5,5,1.0,摰,2011-05-26,2011-05-25,
12,2010-05-17,0,0,0.5,摰,2010-05-21,2010-05-20,
13,2009-05-15,0,0,1.0,摰,2009-05-22,2009-05-21,
14,2008-05-14,0,0,1.0,摰,2008-05-20,2008-05-19,
15,2007-07-06,0,0,1.0,摰,2007-07-12,2007-07-11,
16,2006-06-07,0,6,1.5,摰,2006-06-13,2006-06-12,
17,2005-05-12,0,5,3.0,摰,2005-05-18,2005-05-17,
18,2004-10-11,0,5,0.0,摰,2004-10-15,2004-10-14,2004-10-18
