,?砍??交?,?,頧砍?,瘣暹,餈漲,?斗??斗???⊥??餉扇??蝥Ｚ銝???
0,2022-06-28,0,0,2.0,摰,2022-07-06,2022-07-05,
1,2021-07-01,0,0,1.0,摰,2021-07-08,2021-07-07,
2,2020-06-30,0,0,1.0,摰,2020-07-08,2020-07-07,
3,2019-05-16,0,0,1.0,摰,2019-05-23,2019-05-22,
4,2018-06-15,0,0,1.0,摰,2018-06-22,2018-06-21,
5,2017-06-21,0,0,0.5,摰,2017-06-28,2017-06-27,
6,2016-07-06,0,0,0.5,摰,2016-07-13,2016-07-12,
7,2015-07-04,0,0,0.5,摰,2015-07-10,2015-07-09,
8,2014-05-15,0,10,1.0,摰,2014-05-22,2014-05-21,
9,2013-07-02,0,0,1.0,摰,2013-07-10,2013-07-09,
10,2012-06-28,0,0,1.0,摰,2012-07-06,2012-07-05,
11,2011-07-04,0,0,1.5,摰,2011-07-12,2011-07-11,
12,2010-06-05,4,6,2.0,摰,2010-06-11,2010-06-10,
13,2009-06-03,0,0,2.0,摰,2009-06-11,2009-06-10,
14,2008-06-12,0,4,1.0,摰,2008-06-19,2008-06-18,
15,2007-06-01,1,2,0.12,摰,2007-06-08,2007-06-07,
